/root/.openclaw/workspace/skills/hermes-guardian/health_check.sh: line 72: STARTS_SINCE: unbound variable
/root/.openclaw/workspace/skills/hermes-guardian/health_check.sh: line 95: local: can only be used in a function
/root/.openclaw/workspace/skills/hermes-guardian/health_check.sh: line 96: msg: unbound variable
/root/.openclaw/workspace/skills/hermes-guardian/health_check.sh: line 37: [: 0
0: integer expression expected
/root/.openclaw/workspace/skills/hermes-guardian/health_check.sh: line 41: [: 0
0: integer expression expected
11:27:01 — OK — 正常 | PID 2340258 | Feishu=none
15:36:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
15:39:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
15:42:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
15:45:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
15:48:02 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
15:51:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
15:54:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
15:57:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
16:00:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
16:03:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
16:06:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
16:09:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
16:12:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
16:15:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
16:18:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
16:21:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
16:24:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
16:27:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
16:30:02 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
16:33:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
16:36:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
16:39:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
16:42:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
16:45:02 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
16:48:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
16:51:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
16:54:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
16:57:02 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
17:00:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
17:03:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
17:06:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
17:09:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
17:12:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
17:15:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
17:18:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
17:21:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
17:24:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
17:27:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
17:30:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
17:33:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
17:36:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
17:39:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
17:42:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
17:45:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
17:48:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
17:51:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
17:54:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
17:57:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
18:00:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
18:03:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
18:06:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
18:09:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
18:12:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
18:15:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
18:18:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
18:21:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
18:24:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
18:27:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
18:30:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
18:33:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
18:36:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
18:39:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
18:42:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
18:45:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
18:48:02 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
18:51:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
18:54:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
18:57:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
19:00:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
19:03:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
19:06:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
19:09:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
19:12:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
19:15:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
19:18:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
19:21:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
19:24:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
19:27:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
19:30:02 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
19:33:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
19:36:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
19:39:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
19:42:02 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
19:45:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
19:48:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
19:51:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
19:54:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
19:57:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
20:00:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
20:03:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
20:06:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
20:09:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
20:12:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
20:15:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
20:18:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
20:21:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
20:24:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
20:27:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
20:30:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
20:33:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
20:36:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
20:39:02 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
20:42:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
20:45:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
20:48:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
20:51:02 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
20:54:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
20:57:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
21:00:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
21:03:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
21:06:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
21:09:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
21:12:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
21:15:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
21:18:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
21:21:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
21:24:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
21:27:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
21:30:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
21:33:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
21:36:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
21:39:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
21:42:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
21:45:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
21:48:02 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
21:51:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
21:54:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
21:57:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
22:00:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
22:03:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
22:06:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
22:09:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
22:12:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
22:15:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
22:18:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
22:21:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
22:24:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
22:27:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
22:30:02 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
22:33:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
22:36:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
22:39:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
22:42:02 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
22:45:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
22:48:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
22:51:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
22:54:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
22:57:02 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
23:00:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
23:03:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
23:06:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
23:09:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
23:12:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
23:15:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
23:18:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
23:21:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
23:24:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
23:27:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
23:30:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
23:33:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
23:36:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
23:39:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
23:42:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
23:45:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
23:48:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
23:51:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
23:54:02 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
23:57:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
00:00:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
00:03:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
00:06:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
00:09:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
00:12:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
00:15:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
00:18:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
00:21:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
00:24:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
00:27:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
00:30:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
00:33:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
00:36:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
00:39:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
00:42:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
00:45:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
00:48:02 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
00:51:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
00:54:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
00:57:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
01:00:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
01:03:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
01:06:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
01:09:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
01:12:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
01:15:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
01:18:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
01:21:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
01:24:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
01:27:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
01:30:02 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
01:33:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
01:36:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
01:39:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
01:42:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
01:45:02 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
01:48:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
01:51:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
01:54:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
01:57:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
02:00:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
02:03:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
02:06:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
02:09:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
02:12:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
02:15:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
02:18:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
02:21:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
02:24:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
